ethics,Motivation,Resilience,SelfEfficacy,TeamStrain,KnowledgeArticulation,CoopClass
3.5,2,4,3.66666666666667,3.125,3.6,3.75
5,3,4.33333333333333,4,3.625,4.2,4
1,1.33333333333333,5,5,4,4.2,4.125
2,3,3,3,3,3,3
4,2.33333333333333,4,3.66666666666667,3.625,2.8,3.875
3.5,2.33333333333333,4,3.83333333333333,4,3.4,3.875
5,3,4.33333333333333,4,3.625,4.2,4
3.5,4,5,4,4,3.8,3.625
3,2.66666666666667,2.66666666666667,3.16666666666667,3,4,3.625
4,3.33333333333333,5,3.66666666666667,4,4,4.5
1,2.66666666666667,1,3,3,2.6,1.75
3.5,3,3.33333333333333,3.83333333333333,4,4.2,4
3,2,3,3.66666666666667,4.25,4.2,4.5
5,2.66666666666667,4.33333333333333,4.16666666666667,3.5,4,3.25
5,2.66666666666667,4.33333333333333,4.16666666666667,3.5,4,3.25
4,3.66666666666667,3.33333333333333,1.83333333333333,3,3,4.625
2,2.66666666666667,3.33333333333333,3.66666666666667,3.25,3.4,2
2,2,4,3,4,3.8,4
3.5,1.33333333333333,4,3.33333333333333,4,3.6,2.375
2.5,3,3.66666666666667,3.33333333333333,3.375,4,3.5
3.5,2.33333333333333,4,3.66666666666667,4,4,4
1,1,5,4.5,4,3,4.25
2,3.66666666666667,2.33333333333333,2,4.125,3.8,3.625
3,3,3.33333333333333,4,3.75,3.8,3.625
3.5,4.66666666666667,3.66666666666667,3.66666666666667,3.125,2.2,3.625
5,3,2,3,3,2.4,2.625
4,3,3.66666666666667,3.33333333333333,4.375,4,2.25
3.5,3.33333333333333,3.66666666666667,3.83333333333333,4.125,4,3.375
2,2,4,4,3,4,3
2.5,3.33333333333333,5,3.83333333333333,3,4.6,4.625
4,3,4,4,4,4,3
2,1.33333333333333,5,4.16666666666667,4,4,3.875
3,3,3.66666666666667,3.83333333333333,3.875,4,3.5
2.5,3.33333333333333,5,3.83333333333333,3,4.6,4.625
3,4,3.33333333333333,4,3.875,4,3.875
3,2.66666666666667,4,4,4.25,4,3.625
2,3,2.66666666666667,3.16666666666667,4,4.4,4
4,1.66666666666667,5,2.33333333333333,4.125,3.4,4.625
2.5,1.66666666666667,4.33333333333333,3,2.375,4.6,4.375
4,2,3.66666666666667,3.5,3.875,3.6,4.25
2,2.66666666666667,3.66666666666667,3.83333333333333,3.125,3.8,4.125
1.5,1.66666666666667,3,3.5,3.625,3.2,3.75
1,4,4.66666666666667,4,1,1,1
3,3,3.33333333333333,3,5,2,4
3,3,4,3.33333333333333,3,2,4
2,2.33333333333333,3,4,4,4,3.5
2.5,2,4,3.83333333333333,4,3.8,4.25
3,3,4,3.83333333333333,4,4,4
3,2.66666666666667,4,3.5,4,4,3.5
4,3.33333333333333,3.33333333333333,2.83333333333333,3.625,3.6,3.75
4,3,4,3.83333333333333,4,4,3.875
4,2.66666666666667,3.66666666666667,3.83333333333333,3.875,3.8,3.625
3,3,3.33333333333333,3,4,3.8,3.25
3,3.33333333333333,4.33333333333333,3,3.5,4,2.625
3,2,3,3.66666666666667,3.875,4,3.625
3,3.66666666666667,4,4,4,4,4
2.5,2.33333333333333,4,4,4,4,3.75
3.5,2.66666666666667,3.66666666666667,4,4,4,4
4,3,3,3,4,4,4
4,3,4,3.83333333333333,4,3.8,3.75
3,3.66666666666667,4,3.83333333333333,4,3.8,3.75
2,2.33333333333333,4,4,4,4,3.875
2,3.33333333333333,4,3.66666666666667,4,4,4
3,1.33333333333333,4,4,4,4,4
2,2.33333333333333,3.33333333333333,2.83333333333333,3.625,4,3.25
3,3,3.66666666666667,4,3.875,3.8,4.125
3,3,4.33333333333333,4,4.125,4,3.5
2,2,3,3.5,3.75,4.2,3.75
4,3,3.33333333333333,3.33333333333333,4,4,4
2,2.33333333333333,3.33333333333333,3.66666666666667,3.625,4.4,4
