Gender,Tlahir,BLhair,Pengeluaran,Status,Fak,IPK,Semester
1,2000,2,1,2,Economic,4,1
1,2000,1,2,2,Economic,4,1
2,2000,10,2,2,Economic,4,1
1,2000,6,2,2,Economic,3,1
2,2000,9,1,2,Mathematics and Natural Science,3,1
1,2000,5,1,2,Economic,4,1
1,2000,1,2,2,Economic,4,1
1,1999,3,2,2,Art,4,1
1,2000,8,1,2,Economic,4,1
2,2000,6,4,2,Mathematics and Natural Science,2,1
2,2000,3,1,2,Engineering,3,1
1,2000,3,1,2,Economic,4,1
1,2000,7,1,2,Economic,4,1
2,2000,4,1,2,Mathematics and Natural Science,3,1
2,2000,4,1,2,Mathematics and Natural Science,3,1
2,2000,2,1,2,Engineering,4,1
2,1998,9,1,2,Engineering,4,1
1,2000,3,1,2,Engineering,3,1
1,2000,4,2,2,Educational Science,4,1
1,1999,8,1,2,Educational Science,4,1
1,1999,12,1,2,Economic,3,1
1,2000,5,3,2,Educational Science,4,1
1,1999,4,1,2,Engineering,4,1
1,2000,3,1,2,Educational Science,3,1
2,2000,6,1,2,Engineering,3,1
2,2000,2,3,2,Engineering,3,1
1,2001,5,1,2,Art,4,1
1,1999,3,2,2,Art,3,1
1,1999,11,1,2,Social Science,4,1
2,1999,0,1,2,Economic,3,1
1,2000,1,1,2,Economic,4,1
1,2001,1,2,2,Mathematics and Natural Science,3,1
1,1999,12,1,2,Economic,4,1
2,2000,6,2,2,Economic,3,1
2,1999,0,1,2,Economic,3,1
1,1998,4,1,2,Economic,4,1
1,2000,1,2,2,Economic,4,1
1,2001,1,1,2,Economic,4,1
1,2000,8,1,2,Economic,4,1
2,2000,10,2,2,Economic,4,1
2,1999,0,1,2,Engineering,4,1
1,1999,8,1,2,Economic,4,1
2,2000,5,2,2,Educational Science,3,1
1,1999,11,1,2,Art,4,1
1,1999,11,1,2,Art,4,1
2,1998,0,1,2,Engineering,3,1
2,2000,1,1,2,Engineering,3,1
1,2000,8,1,2,Economic,4,1
2,1999,8,2,2,Art,2,1
2,2000,3,1,2,Economic,3,1
1,2001,2,1,2,Economic,4,1
1,2000,0,2,2,Economic,4,1
1,1999,0,2,2,Social Science,4,1
1,2000,6,1,2,Social Science,3,1
1,1999,6,1,2,Art,4,1
1,1999,7,1,2,Mathematics and Natural Science,4,1
1,1999,8,1,2,Mathematics and Natural Science,4,1
1,2000,3,1,2,Mathematics and Natural Science,4,1
2,2000,1,2,2,Educational Science,4,1
1,2000,2,1,2,Economic,3,1
1,1999,0,5,2,Social Science,3,1
1,1999,9,1,2,Educational Science,4,1
1,2000,11,1,2,Educational Science,3,1
1,2000,1,1,2,Social Science,3,1
1,2000,2,1,2,Educational Science,4,1
1,1998,3,2,2,Economic,3,1
1,1999,9,1,2,Educational Science,3,1
1,2000,3,1,2,Economic,4,1
1,2001,2,2,2,Social Science,3,1
2,1997,11,1,2,Art,4,1
2,2001,3,1,2,Engineering,3,1
1,1999,8,2,2,Economic,4,1
1,2000,4,1,2,Educational Science,3,1
1,1999,11,1,2,Art,4,1
1,1999,9,1,2,Mathematics and Natural Science,4,1
2,2000,6,1,2,Sports Science,3,1
2,2000,4,2,2,Sports Science,3,1
2,1999,4,1,2,Social Science,4,1
2,2000,1,1,2,Social Science,4,1
1,1999,6,1,2,Educational Science,4,1
1,2000,4,1,2,Social Science,4,1
1,2000,0,1,2,Art,3,1
2,2000,7,1,2,Mathematics and Natural Science,3,1
2,2000,0,1,2,Engineering,3,1
2,2000,6,2,2,Engineering,3,1
2,2000,3,1,2,Engineering,3,1
2,2000,4,2,2,Engineering,4,1
2,1999,8,2,2,Engineering,3,1
2,2000,3,3,2,Engineering,3,1
2,2000,5,2,2,Engineering,3,1
2,1999,8,1,2,Engineering,4,1
1,2000,1,1,2,Social Science,4,1
2,2000,4,2,2,Social Science,4,1
1,2001,4,1,2,Educational Science,4,1
1,1999,0,2,2,Art,3,1
1,2000,1,1,2,Social Science,3,1
1,2000,3,2,2,Economic,4,1
2,1999,11,1,2,Social Science,3,1
1,2000,8,1,2,Social Science,4,1
1,2000,2,2,2,Social Science,3,1
1,2000,3,2,2,Economic,4,1
2,2000,4,1,2,Social Science,3,1
1,1999,1,2,2,Economic,4,1
2,1999,4,1,2,Art,4,1
1,2000,1,1,2,Art,4,1
1,1999,0,1,2,Art,4,1
1,2000,8,2,2,Art,3,1
1,2000,3,1,2,Art,4,1
1,2000,1,1,2,Art,4,1
1,2000,11,1,2,Art,4,1
1,2001,1,1,2,Art,4,1
1,2000,6,1,2,Educational Science,4,1
1,2000,3,2,2,Art,3,1
1,2000,0,1,2,Mathematics and Natural Science,3,1
1,2000,11,1,2,Art,4,1
1,2000,5,1,2,Mathematics and Natural Science,3,1
1,2000,9,1,2,Economic,4,1
1,1999,1,1,2,Economic,3,1
1,2000,4,1,2,Engineering,4,1
1,2000,9,1,2,Economic,4,1
2,2000,9,2,2,Social Science,3,1
1,2000,4,1,2,Economic,4,1
1,2000,7,1,2,Economic,4,1
1,2000,7,3,2,Engineering,3,1
1,2000,4,1,2,Social Science,4,1
1,2000,2,1,2,Educational Science,4,1
1,2000,6,1,2,Economic,4,1
1,2000,1,1,2,Educational Science,4,1
1,2000,4,1,2,Social Science,3,1
1,2000,6,2,2,Art,4,1
1,2000,0,1,2,Art,4,1
1,2001,7,1,2,Economic,4,1
1,2000,2,1,2,Economic,4,1
1,1999,5,1,2,Economic,4,1
1,1999,5,1,2,Economic,4,1
1,2001,1,1,2,Economic,4,1
1,2000,5,1,2,Art,4,1
1,2001,3,1,2,Economic,4,1
2,1999,10,2,2,Art,4,1
1,1999,9,1,2,Social Science,3,1
1,1999,11,1,2,Educational Science,4,1
1,2000,8,2,2,Art,4,1
2,2000,5,1,2,Social Science,4,1
1,2000,3,1,2,Art,3,1
1,2000,10,2,2,Art,4,1
1,1999,5,2,2,Art,4,1
1,1999,11,1,2,Art,4,1
1,2000,2,1,2,Art,4,1
1,2000,5,1,2,Engineering,4,1
1,2000,9,1,2,Social Science,3,1
1,2000,8,2,2,Art,4,1
1,1998,0,2,2,Mathematics and Natural Science,4,1
1,2000,3,1,2,Economic,4,1
1,2000,11,2,2,Art,3,1
1,2000,4,2,2,Art,4,1
1,2000,10,2,2,Art,4,1
1,1999,6,2,2,Art,4,1
1,2000,8,1,2,Economic,4,1
1,2000,9,2,2,Art,3,1
1,2000,11,1,2,Art,4,1
1,2000,10,1,2,Art,4,1
2,2000,0,2,2,Mathematics and Natural Science,3,1
2,1999,9,1,2,Mathematics and Natural Science,4,1
1,2000,4,1,2,Educational Science,4,1
1,1999,0,1,2,Mathematics and Natural Science,4,1
1,2000,9,2,2,Mathematics and Natural Science,2,1
1,2000,6,2,2,Art,4,1
1,2000,4,1,2,Art,3,1
1,1997,8,1,2,Art,3,1
1,2000,1,1,2,Art,3,1
1,1999,0,1,2,Art,4,1
1,1999,9,1,2,Art,4,1
1,2000,4,1,2,Art,3,1
1,2000,7,2,2,Art,3,1
1,2000,1,2,2,Art,4,1
1,2001,1,2,2,Art,4,1
1,1999,6,2,2,Art,4,1
2,2000,11,1,2,Art,3,1
1,1999,0,1,2,Art,3,1
1,2000,9,1,2,Art,3,1
1,3200,5,2,2,Art,3,1
1,2000,4,1,2,Art,3,1
1,2000,5,1,2,Art,3,1
1,2000,1,1,2,Art,4,1
1,2000,11,1,2,Art,3,1
1,2000,4,1,2,Art,4,1
2,1999,5,2,2,Engineering,4,1
1,81999,9,1,2,Art,4,1
1,2000,10,2,2,Art,4,1
1,2000,3,1,2,Art,4,1
1,1999,9,1,2,Art,4,1
1,2000,7,1,2,Social Science,4,1
1,2000,1,1,2,Art,4,1
1,2000,3,1,2,Economic,4,1
1,2000,6,1,2,Art,4,1
1,2000,5,1,2,Economic,3,1
1,2000,0,1,2,Art,4,1
1,2001,1,1,2,Economic,4,1
1,1999,0,1,2,Educational Science,3,1
1,1999,10,1,2,Art,3,1
1,2000,8,1,2,Educational Science,3,1
1,2000,1,2,2,Economic,4,1
1,2001,4,2,2,Educational Science,4,1
1,2000,9,1,2,Educational Science,4,1
1,16122000,0,2,2,Economic,4,1
1,2000,5,1,2,Economic,4,1
2,1999,0,3,2,Art,4,1
1,1999,10,1,2,Educational Science,4,1
1,2000,8,1,2,Economic,4,1
1,2000,1,1,2,Art,4,1
1,2000,1,1,2,Art,4,1
2,1999,11,2,2,Sports Science,4,1
1,2000,2,1,2,Economic,3,1
1,1999,10,1,2,Art,4,1
1,1999,8,2,2,Educational Science,4,1
1,1999,5,1,2,Sports Science,3,1
1,2000,8,1,2,Engineering,4,1
2,2000,8,2,2,Social Science,4,1
2,1999,2,3,2,Engineering,3,1
2,1999,8,2,2,Engineering,3,1
2,2000,4,3,2,Engineering,3,1
1,1999,6,3,2,Engineering,3,1
2,1999,9,3,2,Engineering,4,1
2,2000,4,3,2,Engineering,3,1
2,1999,10,1,2,Educational Science,4,1
2,1999,10,1,2,Social Science,3,1
2,2000,7,1,2,Social Science,4,1
2,2000,6,1,2,Educational Science,3,1
1,2000,8,1,2,Mathematics and Natural Science,3,1
2,1999,4,1,2,Mathematics and Natural Science,3,1
1,1999,0,1,2,Mathematics and Natural Science,3,1
1,2000,9,2,2,Mathematics and Natural Science,3,1
1,2000,4,1,2,Mathematics and Natural Science,3,1
1,1999,4,1,2,Mathematics and Natural Science,3,1
1,2000,6,4,3,Educational Science,1,1
1,1999,9,1,2,Mathematics and Natural Science,3,1
2,2000,1,1,2,Mathematics and Natural Science,3,1
1,2000,7,1,2,Mathematics and Natural Science,3,1
1,2000,7,2,2,Mathematics and Natural Science,3,1
1,2000,1,1,2,Mathematics and Natural Science,3,1
1,2000,3,1,2,Mathematics and Natural Science,3,1
1,2000,2,1,2,Economic,4,1
1,2000,1,1,2,Mathematics and Natural Science,3,1
1,1999,11,1,2,Mathematics and Natural Science,3,1
1,2001,3,1,2,Mathematics and Natural Science,3,1
1,2000,10,2,2,Art,3,1
1,2000,1,2,2,Mathematics and Natural Science,3,1
2,2000,9,1,2,Social Science,4,1
2,2000,3,3,2,Engineering,3,1
1,1999,0,1,2,Art,3,1
2,2000,4,3,2,Engineering,3,1
1,1999,0,1,2,Economic,4,1
1,1999,5,2,2,Economic,4,1
1,1999,0,1,2,Art,4,1
2,1999,10,1,2,Economic,4,1
1,2000,1,2,2,Educational Science,4,1
1,1999,9,1,2,Educational Science,3,1
1,2000,2,1,2,Educational Science,4,1
2,1999,10,2,2,Economic,4,1
1,2000,6,1,2,Educational Science,4,1
1,2000,7,1,2,Educational Science,4,1
1,2000,5,1,2,Educational Science,3,1
2,1999,11,1,2,Engineering,4,1
1,2000,4,2,2,Social Science,4,1
1,2000,3,2,2,Educational Science,4,1
1,2000,3,2,2,Educational Science,4,1
1,1999,10,2,2,Educational Science,3,1
1,1999,5,1,2,Economic,4,1
1,2000,2,2,2,Social Science,4,1
1,2000,7,1,2,Economic,3,1
1,2000,3,1,2,Social Science,3,1
1,2000,8,1,2,Economic,4,1
1,2000,11,1,2,Art,4,1
1,2000,8,1,2,Art,4,1
1,2000,10,2,2,Art,4,1
1,2000,1,1,2,Art,4,1
2,1999,10,1,2,Social Science,4,1
1,2000,9,2,2,Art,3,1
1,2000,11,2,2,Art,3,1
1,2000,4,1,2,Social Science,4,1
1,2000,11,1,2,Art,4,1
1,2000,2,1,2,Art,4,1
1,2000,10,1,2,Art,4,1
1,2000,3,2,2,Economic,4,1
1,2000,4,1,2,Art,3,1
1,1999,8,2,2,Engineering,4,1
2,1999,11,1,2,Art,3,1
1,2000,0,1,2,Art,3,1
1,11042000,4,1,2,Art,4,1
1,11042000,4,1,2,Art,4,1
1,2000,2,2,2,Art,3,1
1,2000,2,1,2,Social Science,4,1
2,2000,5,1,2,Engineering,4,1
1,1999,5,1,2,Social Science,3,1
1,2000,3,1,2,Educational Science,4,1
1,2000,1,2,2,Mathematics and Natural Science,4,1
1,2000,7,1,2,Engineering,3,1
1,2000,2,1,2,Economic,4,1
1,2000,9,1,2,Economic,4,1
2,1999,11,2,2,Economic,4,1
1,1999,10,2,2,Educational Science,4,1
2,2000,5,2,2,Economic,4,1
1,2000,3,1,2,Economic,4,1
1,2000,1,1,2,Educational Science,4,1
1,2000,3,2,2,Economic,4,1
2,2000,10,2,2,Economic,4,1
1,2000,4,1,2,Economic,4,1
1,2001,1,1,2,Economic,4,1
1,1999,0,1,2,Economic,4,1
1,1999,3,1,2,Economic,4,1
2,2000,6,1,2,Art,3,1
1,2000,1,1,2,Economic,3,1
1,2001,2,1,2,Economic,3,1
1,2000,2,1,2,Educational Science,4,1
1,2000,9,1,2,Mathematics and Natural Science,2,1
1,2000,4,1,2,Educational Science,4,1
1,1999,10,1,2,Mathematics and Natural Science,4,1
1,2000,10,1,2,Educational Science,4,1
1,2000,7,2,2,Mathematics and Natural Science,3,1
1,1999,7,1,2,Educational Science,4,1
2,2000,6,1,2,Mathematics and Natural Science,3,1
1,1999,10,1,2,Mathematics and Natural Science,4,1
1,2000,2,3,2,Educational Science,4,1
2,2001,11,3,2,Mathematics and Natural Science,3,1
1,2000,10,1,2,Educational Science,3,1
1,2001,6,1,2,Educational Science,4,1
1,2000,9,2,2,Art,3,1
1,2000,1,1,2,Educational Science,3,1
2,1999,11,2,2,Art,3,1
1,1999,8,2,2,Engineering,3,1
1,1999,1,2,2,Art,4,1
1,1999,1,1,2,Educational Science,4,1
1,1999,4,1,2,Mathematics and Natural Science,3,1
1,2000,9,2,2,Mathematics and Natural Science,3,1
1,2000,6,1,2,Educational Science,3,1
1,1999,2,1,2,Mathematics and Natural Science,3,1
1,2000,4,1,2,Educational Science,4,1
1,1999,2,1,2,Art,3,1
1,1999,10,1,2,Economic,4,1
1,2000,6,1,2,Economic,4,1
1,1999,6,1,2,Economic,4,1
1,2000,3,1,2,Economic,4,1
2,1999,6,2,2,Educational Science,3,1
1,2000,4,2,2,Educational Science,3,1
1,1999,10,1,2,Educational Science,3,1
1,1999,3,1,2,Engineering,4,1
1,2000,0,1,2,Engineering,4,1
1,1999,8,2,2,Educational Science,3,1
1,2000,4,1,2,Educational Science,4,1
1,1999,9,1,2,Engineering,3,1
1,1999,6,1,2,Engineering,3,1
1,1999,4,1,2,Engineering,3,1
2,1999,2,1,2,Engineering,4,1
2,2000,8,1,2,Engineering,3,1
2,1999,1,1,2,Engineering,4,1
1,2000,4,1,2,Engineering,4,1
1,1999,0,1,2,Engineering,4,1
1,2000,9,1,2,Engineering,3,1
2,2000,5,1,2,Engineering,4,1
1,2000,7,1,2,Engineering,4,1
1,2000,8,1,2,Social Science,3,1
1,1999,8,2,2,Economic,4,1
1,2000,4,1,2,Mathematics and Natural Science,3,1
1,2000,4,1,2,Economic,4,1
1,1999,9,1,2,Mathematics and Natural Science,3,1
1,2000,6,1,2,Mathematics and Natural Science,3,1
1,302000,3,1,2,Art,2,1
1,202000,5,1,2,Art,3,1
1,1999,0,2,2,Engineering,3,1
1,2000,1,1,2,Mathematics and Natural Science,4,1
1,2000,4,1,2,Mathematics and Natural Science,4,1
1,2000,9,1,2,Mathematics and Natural Science,3,1
1,2000,8,1,2,Mathematics and Natural Science,3,1
2,2000,4,1,2,Engineering,4,1
1,2000,2,1,2,Economic,4,1
1,1999,4,1,2,Economic,4,1
1,2000,6,1,2,Mathematics and Natural Science,4,1
1,1999,11,1,2,Mathematics and Natural Science,3,1
1,2000,8,1,2,Mathematics and Natural Science,3,1
1,2000,3,2,2,Mathematics and Natural Science,3,1
1,2000,7,1,2,Educational Science,3,1
1,1999,5,1,2,Engineering,4,1
1,2000,5,1,2,Social Science,4,1
2,2000,7,2,2,Engineering,3,1
1,2000,3,2,2,Mathematics and Natural Science,3,1
1,1999,10,2,2,Social Science,4,1
1,1998,11,1,2,Engineering,4,1
2,1999,0,1,2,Engineering,4,1
1,1999,9,1,2,Social Science,4,1
1,2000,11,2,2,Engineering,3,1
