"Gender","Tlahir","BLhair","Pengeluaran","Status","Fak","IPK","Semester","ET1","ET2","ET3","ET4","ET5","ET6","ET7","ET8","ET9","ET10","ET11","ET12","ET13","ET14","POP1","POP2","POP3","POP4","POP5","POP6","POP7","POP8","POP9","Mot1","Mot2","Mot3","Mot4","Mot5","Mot6","Mot7","Mot8","Mot9","Mot10","Mot11","Mot12","Mot13","Mot14","Mot15","PC1","PC2","PC3","PC4","PC5","PC6","SE1","SE2","SE3","SE4","SE5","SE6","R1","R2","R3","R4","R5","R6","Opt1","Opt2","Opt3","Opt4","Opt5","Opt6","TS1","TS2","TS3","TS4","TS5","TS6","TS7","TS8","TS9","TS10","TS11","TS12","TS13","TS14","TS15","TS16","TS17","INO1","INO2","INO3","INO4","INO5","PDC1","PDC2","PDC3","KA1","KA2","KA3","KA4","KA5","CCE1","CCE2","CCE3","CCE4","CCE5","CCE6","CCE7","CCE8","CCE9","CCE10","CCE11","CCE12","CCE13","CCE14","CCE15","CCE16","CCE17","CCE18","CCE19","CCE20","ethics","Motivation","Resilience","SelfEfficacy","TeamStrain","KnowledgeArticulation","CoopClass"
1,2000,2,1,2,"FE",4,1,1,4,4,3,1,1,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,3,4,4,4,2,4,4,2,4,4,2,4,4,4,2,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,2,4,4,4,4,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,4,4,4,3,3,4,3,3,4,4,4,4,3,4,4,4,3,4,3,3,4,4,4,3,3,3.5,2,4,3.66666666666667,3.125,3.6,3.75
1,2000,1,2,2,"FE",4,1,1,2,1,2,2,2,5,5,5,5,5,5,5,4,4,4,4,3,3,4,4,3,3,4,4,4,5,3,5,4,3,4,4,3,4,5,5,1,4,5,5,3,4,3,4,4,4,4,4,4,4,5,5,5,4,4,3,4,3,3,3,3,3,3,4,4,5,5,4,4,3,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,5,3,4.33333333333333,4,3.625,4.2,4
2,2000,10,2,2,"FE",4,1,1,1,1,5,1,1,5,5,5,1,1,1,1,1,5,5,5,1,1,5,1,3,1,4,5,2,2,2,5,5,1,1,5,1,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,1,1,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,5,4,5,5,5,4,5,5,1,5,5,5,5,4,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1.33333333333333,5,5,4,4.2,4.125
1,2000,6,2,2,"FE",3,1,1,4,1,1,1,3,4,4,5,5,4,2,2,2,4,4,3,3,3,5,5,3,3,4,4,4,3,2,4,2,4,3,3,3,4,5,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
2,2000,9,1,2,"MIPA",3,1,3,3,2,3,3,3,4,4,5,4,4,4,4,3,2,3,3,4,3,4,4,3,3,4,3,2,4,2,4,4,2,4,3,3,4,4,4,3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,2,3,3,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,2.33333333333333,4,3.66666666666667,3.625,2.8,3.875
1,2000,5,1,2,"FE",4,1,2,3,1,2,2,2,4,4,4,2,3,3,4,5,5,4,4,4,4,4,4,4,2,4,4,3,3,3,4,4,1,4,3,3,4,5,4,1,5,5,5,3,5,3,4,3,4,4,4,4,4,3,3,5,4,5,5,5,4,4,5,4,3,3,3,5,5,3,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,5,4,5,1,4,3,4,5,3,4,5,4,5,4,3,4,4,5,5,1,3,5,5,5,5,5,3.5,2.33333333333333,4,3.83333333333333,4,3.4,3.875
1,2000,1,2,2,"FE",4,1,1,2,1,2,2,2,5,5,5,5,5,5,5,4,4,4,4,3,3,4,4,3,3,4,4,4,5,3,5,4,3,4,4,3,4,5,5,1,4,5,5,3,4,3,4,4,4,4,4,4,4,5,5,5,4,4,3,4,3,3,3,3,3,3,4,4,5,5,4,4,3,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,5,3,4.33333333333333,4,3.625,4.2,4
1,1999,3,2,2,"FBS",4,1,4,4,3,4,4,3,4,4,4,5,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,3,3,3,4,4,3,4,4,4,4,3,5,4,3,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3.5,4,5,4,4,3.8,3.625
1,2000,8,1,2,"FE",4,1,1,4,4,4,1,1,4,4,4,4,3,3,3,4,1,1,3,1,4,4,2,1,1,5,5,3,4,2,4,3,2,4,4,4,5,5,4,1,4,4,4,3,4,3,4,3,3,3,3,3,3,4,4,4,2,2,1,1,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2.66666666666667,2.66666666666667,3.16666666666667,3,4,3.625
2,2000,6,4,2,"MIPA",2,1,2,5,2,3,3,3,5,5,4,5,4,4,4,5,4,4,4,2,2,4,4,3,2,4,4,4,4,3,5,4,4,5,5,3,5,5,5,3,3,4,4,4,4,4,4,4,4,4,3,3,4,5,5,5,5,5,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4,4,5,5,2,4,4,3,4,4,4,4,4,4,3.33333333333333,5,3.66666666666667,4,4,4.5
